Wall time,Step,Value
1715977009.0790346,87,108.9436264038086
1715977012.534253,177,111.00096130371094
1715977016.479545,261,108.64594268798828
1715977020.8384063,355,111.30220794677734
1715977024.6298678,426,106.58455657958984
1715977028.8651712,515,107.30430603027344
1715977033.179495,592,105.47331237792969
1715977036.8577743,669,104.12596130371094
1715977040.0310106,737,101.84786987304688
1715977043.1392496,802,99.63285064697266
1715977046.3695416,872,98.4466781616211
1715977049.6527886,939,97.10428619384766
1715977055.7962797,1016,96.89244842529297
1715977059.0005157,1087,96.3246841430664
1715977062.7558024,1168,96.71477508544922
1715977066.4350767,1248,96.89112854003906
1715977069.9143386,1323,96.725341796875
1715977073.0330968,1391,96.00428009033203
1715977076.6113665,1468,95.98821258544922
1715977080.1386347,1543,95.87225341796875
1715977084.5459628,1637,96.90608215332031
1715977088.8388243,1727,97.68659210205078
1715977095.403314,1867,101.08589935302734
1715977100.5897532,1956,101.471435546875
1715977112.9572694,2090,104.15042114257812
1715977119.8629434,2250,108.00341033935547
1715977127.884548,2463,114.48922729492188
1715977137.8562965,2716,122.11302947998047
1715977149.0871408,2999,131.66746520996094
1715977173.235014,3256,140.8798065185547
1715977187.005058,3525,149.23219299316406
1715977201.453136,3807,158.65867614746094
1715977223.954827,4073,167.66021728515625
1715977236.340876,4344,177.98797607421875
1715977250.2516987,4599,187.6164093017578
1715977263.5126617,4879,198.4489288330078
1715977295.3290725,5236,212.88893127441406
1715977306.7263591,5458,219.8902587890625
1715977326.5203917,5809,233.6984405517578
1715977373.8712156,6230,249.73997497558594
1715977396.2078965,6571,262.0785827636719
1715977425.6541104,6994,278.8070983886719
1715977469.5350478,7323,291.92108154296875
1715977489.5936599,7586,301.5176696777344
1715977516.7196996,7936,314.9843444824219
1715977546.7809215,8171,321.9469299316406
1715977567.2998297,8455,331.60406494140625
1715977587.6631694,8734,338.10699462890625
1715977605.8817995,8997,346.3501892089844
1715977649.4077823,9307,355.3510437011719
1715977663.5713909,9619,363.1668701171875
1715977676.3702533,9930,368.475341796875
1715977710.6900253,10338,376.9275817871094
1715977723.7010038,10654,378.8177795410156
1715977737.6350548,10995,384.0353088378906
1715977765.150695,11264,384.07269287109375
1715977779.275843,11576,386.74786376953125
1715977793.0648806,11884,389.6381530761719
1715977819.8744218,12200,391.6727294921875
1715977830.8262436,12474,393.5671081542969
1715977842.7831435,12782,395.4683837890625
1715977870.2892118,13190,398.1038818359375
1715977883.2987058,13528,405.22625732421875
1715977895.6696339,13843,404.01287841796875
1715977921.986135,14218,402.1011657714844
1715977935.8961787,14575,403.96124267578125
1715977947.3445919,14872,398.3344421386719
1715977972.0300221,15222,399.5763854980469
1715977982.2018313,15483,398.3791198730469
1715977997.4290524,15838,399.7234191894531
1715978022.7659898,16150,403.3386535644531
1715978037.6827738,16523,407.5081481933594
1715978048.977224,16805,407.4609069824219
1715978075.444705,17158,411.71044921875
1715978088.2056477,17494,412.6619567871094
1715978100.4866421,17806,413.14697265625
1715978124.8693504,18182,415.87042236328125
1715978138.6466851,18522,412.55230712890625
1715978149.57949,18794,409.365478515625
1715978175.2372694,19146,409.92681884765625
1715978187.2571447,19465,412.9781799316406
1715978200.2592373,19780,412.5886535644531
1715978228.1354105,20154,416.5914001464844
1715978241.000281,20438,415.6387634277344
1715978254.6169386,20742,417.1580810546875
1715978280.4121792,21070,417.7277526855469
1715978291.8414357,21334,411.5906982421875
1715978304.3613608,21621,409.00909423828125
1715978319.7065544,21975,412.0068664550781
1715978350.16304,22300,410.50091552734375
1715978369.717115,22682,411.3615417480469
1715978400.0483062,23097,417.13909912109375
1715978412.6077754,23410,416.07415771484375
1715978425.055697,23721,419.8538513183594
1715978451.4152184,24140,421.89581298828125
1715978463.8841438,24450,420.68609619140625
1715978477.5741522,24762,417.6822204589844
1715978500.3662522,25140,422.4388427734375
1715978512.9221797,25419,419.8282470703125
1715978526.8682108,25720,416.57122802734375
1715978558.5176744,26116,418.7249755859375
1715978577.8391025,26439,415.1297607421875
1715978600.8700812,26824,417.0523986816406
1715978635.3262067,27153,421.26177978515625
1715978653.2445297,27451,418.8554992675781
1715978664.4493568,27782,420.338623046875
1715978685.3688765,28183,424.7337646484375
1715978694.8425763,28466,419.6679382324219
1715978706.6154501,28793,421.6736755371094
1715978726.305414,29129,423.0544738769531
1715978738.0992856,29456,423.83148193359375
1715978748.7030725,29733,424.27972412109375
1715978758.9708278,29993,422.9711608886719
1715978779.4120462,30316,420.80450439453125
1715978793.2625873,30654,421.5919189453125
1715978817.782102,31066,423.1707763671875
1715978831.8011386,31385,419.76312255859375
1715978845.646049,31697,419.33074951171875
1715978872.3828964,32092,424.4265441894531
1715978890.5422418,32514,424.9933776855469
1715978904.2542534,32831,427.46759033203125
1715978928.6720948,33195,430.5247497558594
1715978945.8713675,33600,431.7381591796875
1715978962.1125648,33982,437.4600524902344
1715978987.1003518,34318,440.6269226074219
1715979001.850263,34663,440.0785217285156
1715979014.8850691,34965,439.3955993652344
1715979041.1324108,35350,439.1521301269531
1715979058.347474,35752,441.6813049316406
1715979085.0006971,36145,444.90301513671875
1715979099.137575,36472,444.0887451171875
1715979115.334611,36846,442.9940185546875
1715979139.0497317,37175,443.9646301269531
1715979154.596736,37522,443.30426025390625
1715979172.2768278,37924,446.6916809082031
1715979199.7687805,38409,452.65997314453125
1715979213.8896549,38738,454.72119140625
1715979241.7274225,39198,463.7513427734375
1715979256.468147,39521,463.1003723144531
1715979270.1859944,39854,463.35003662109375
1715979296.6493623,40283,465.4546813964844
1715979308.7611113,40578,462.948486328125
1715979324.9111094,40957,464.7762451171875
1715979355.2693079,41466,467.57611083984375
1715979371.6503196,41856,465.6587219238281
1715979396.7738454,42250,468.8350524902344
1715979414.9869738,42669,471.40887451171875
1715979448.6224747,43246,481.12127685546875
1715979465.5225174,43653,481.699951171875
1715979479.214431,43988,482.23968505859375
1715979510.650243,44364,483.5628356933594
1715979528.2079911,44810,491.8486633300781
1715979561.7137263,45208,493.6986083984375
1715979576.0008216,45600,494.00958251953125
1715979587.5843585,45923,491.5503234863281
1715979620.489961,46353,497.8971862792969
1715979638.3707256,46816,500.8900146484375
1715979671.7636142,47275,507.2710266113281
1715979685.365983,47619,509.0655212402344
1715979701.0150042,47976,505.5514831542969
1715979734.206756,48364,501.89532470703125
1715979749.0018775,48724,504.4414367675781
1715979785.810327,49222,507.5345153808594
1715979800.3157923,49559,509.12261962890625
1715979816.4006724,49922,510.4117126464844
